CampaignID,Industry,CampaignType,Platform,Budget_K,Duration_Days,TargetAudience,CreativeCount,A_B_Tests,Influencers,EmailList_K,SocialFollowers_K,PreviousCampaigns,SeasonLaunched,CompetitorActivity,LandingPageScore,ROI_Percent
C001,Retail,Awareness,Facebook,50,30,Millennials,5,2,0,25,150,3,Spring,High,85,145
C002,Tech,LeadGen,LinkedIn,75,45,Professionals,8,4,1,40,80,5,Winter,Medium,92,210
C003,Food,Sales,Instagram,35,21,GenZ,10,3,3,15,250,2,Summer,Low,78,165
C004,Finance,Awareness,Google,100,60,Seniors,4,2,0,60,45,8,Fall,High,88,125
C005,Retail,LeadGen,Facebook,45,28,Millennials,6,3,1,30,180,4,Winter,Medium,82,175
C006,Tech,Sales,Google,120,45,Professionals,7,5,0,55,65,10,Spring,High,95,235
C007,Food,Awareness,Instagram,25,14,GenZ,12,2,5,10,320,1,Summer,Low,72,155
C008,Finance,LeadGen,LinkedIn,85,50,Professionals,5,4,1,70,55,6,Fall,Medium,90,195
C009,Retail,Sales,Facebook,60,35,Millennials,8,3,2,35,200,5,Spring,Medium,84,185
C010,Tech,Awareness,Google,90,40,Professionals,6,3,0,50,70,7,Winter,High,91,180
C011,Food,LeadGen,Instagram,40,25,GenZ,9,4,4,20,280,3,Fall,Low,76,160
C012,Finance,Sales,LinkedIn,110,55,Seniors,5,5,0,75,40,9,Winter,High,93,215
C013,Retail,Awareness,Facebook,30,21,GenZ,7,2,1,18,220,2,Summer,Low,79,135
C014,Tech,LeadGen,Google,80,42,Professionals,6,4,1,45,75,6,Spring,Medium,89,205
C015,Food,Sales,Instagram,55,30,Millennials,11,3,3,25,265,4,Winter,Medium,81,175
C016,Finance,Awareness,LinkedIn,65,38,Professionals,4,3,0,55,50,5,Fall,High,87,145
C017,Retail,LeadGen,Facebook,70,32,Millennials,8,4,2,40,175,6,Spring,Medium,86,195
C018,Tech,Sales,Google,130,50,Professionals,7,5,1,60,85,12,Summer,High,96,255
C019,Food,Awareness,Instagram,20,12,GenZ,10,2,4,8,300,1,Fall,Low,70,125
C020,Finance,LeadGen,LinkedIn,95,48,Seniors,5,4,0,65,48,7,Winter,Medium,91,200
C021,Retail,Sales,Facebook,55,28,GenZ,9,3,2,28,195,4,Summer,Low,83,170
C022,Tech,Awareness,LinkedIn,85,40,Professionals,6,3,1,48,72,8,Spring,High,90,175
C023,Food,LeadGen,Instagram,45,26,Millennials,8,4,3,22,245,3,Winter,Medium,77,165
C024,Finance,Sales,Google,105,52,Professionals,5,5,0,70,52,9,Fall,High,94,225
C025,Retail,Awareness,Instagram,35,18,GenZ,11,2,4,15,280,2,Summer,Low,75,140